N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Humidity (%),pH,Rainfall (mm),label,guide
1170,22.14,283,26.6,80.2,7.4,2343,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2530,27.67,356,26.5,88,7.5,2310,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1710,22.16,305,27.6,88.1,7.5,2022,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3310,24.45,359,26.4,89.2,7.4,2478,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3520,29.72,381,26.8,84.6,7.4,2278,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1170,22.14,283,27.6,89.9,7.4,2038,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1710,22.16,305,27.1,76.3,7.5,2457,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2530,27.67,356,26.8,77.4,7.5,2779,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2110,20.93,328,27,77,7.5,2174,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3670,24.15,398,27.6,77.3,7.3,2150,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
